"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","C2","ke0","Ceff","centr","peri","AUC","Drug"
"63",2,2,2,6.87831474816267,1.19876559538302,1.60905558293505,5.26157828100458,0.233931659403179,1.3422603961377,2,2,0.764951659475899,0.307310645255906,0.467617780640751,0.5,0.307310645255906,2.11377934353108,0.560564107221494,1.39229260841649,"Drug2"
"64",2,2,2,9.10263978510993,0.565549348495556,1.88241695681196,6.1438366977073,0.206799016686479,3.32847515750741,2,2,0.674951095808204,0.286571189979952,0.352032632653581,0.5,0.286571189979952,2.60855431517781,0.199091826046408,1.17066162605848,"Drug2"
"65",2,2,2,17.8285890452933,1.20774607765558,1.83183176887993,3.11385990618667,0.102746872690048,1.516735846028,2,2,0.174655431132321,0.375329677773702,0.396291062321906,0.5,0.375329677773702,6.6915985815297,0.478618976129245,0.908769992098486,"Drug2"
"66",2,2,2,8.47622678496781,0.784902144535023,2.52371657286204,3.37923263273887,0.297740567458356,3.21532638231876,2,2,0.398671805092778,0.512934279734823,0.576715257558366,0.5,0.512934279734823,4.34774728081648,0.45266504244363,1.53868888053606,"Drug2"
"67",2,2,2,17.1605972707604,1.02442150340136,1.79965450132433,4.92464962512913,0.104871320789675,1.75675197694405,2,2,0.286974255466047,0.315762396373885,0.356631682231014,0.5,0.315762396373885,5.41867131742245,0.365341164071652,0.856098979507672,"Drug2"
"68",2,2,2,11.0771732464582,0.736674935296642,2.18527183385011,4.25134202499204,0.197277029548024,2.96639905763883,2,2,0.383793042719754,0.407350214104672,0.461311600010222,0.5,0.407350214104672,4.51228889361928,0.339836693089121,1.21088220684885,"Drug2"
"69",2,2,2,6.07272656150171,1.43305888542829,2.19596947590174,5.50292887539243,0.361611782394941,1.53236513742102,2,2,0.906171028723484,0.275931105624112,0.437898302196453,0.5,0.275931105624112,1.67565415426808,0.62753405287659,1.3986754993824,"Drug2"
"70",2,2,2,8.96852157695368,1.04960356837215,1.66953066810018,4.41116319173212,0.186154502029671,1.59062975623215,2,2,0.49184953772843,0.397037806937743,0.50340224407662,0.5,0.397037806937743,3.56084213838752,0.528372791709367,1.33996064370998,"Drug2"
"71",2,2,2,5.97189141201018,0.929840231124349,1.99649676392726,5.33630614182965,0.334315650802369,2.14713958064938,2,2,0.89357052459087,0.293024547261783,0.429407715043297,0.5,0.293024547261783,1.74991077730081,0.399280569002438,1.47120656968248,"Drug2"
"72",2,2,2,17.1330551511701,1.20876311339474,2.73209009946581,2.63069161098405,0.159463100734793,2.26023616140378,2,2,0.153544804926656,0.406366723844917,0.428945943956806,0.5,0.406366723844917,6.96230349123527,0.518494034695274,0.957619837897728,"Drug2"
"73",2,2,2,11.4587772086681,0.611136611456682,1.18297100042793,4.68963494432118,0.103237106271083,1.93568995581569,2,2,0.409261377450787,0.375133514113065,0.450363750998967,0.5,0.375133514113065,4.29857136172635,0.27523377670843,1.15706124804788,"Drug2"
"74",2,2,2,8.25816070102982,0.698209300244008,1.94080877114923,4.36832070528663,0.235017074795748,2.77969481424978,2,2,0.52897017428371,0.413032448044997,0.496032222744419,0.5,0.413032448044997,3.41088833069533,0.34633431114086,1.42910234374703,"Drug2"
"75",2,2,2,7.00180591794485,1.12365581127789,2.28586720549014,5.90405694913607,0.326468232949975,2.03431262718297,2,2,0.843219166358871,0.271883599185297,0.394483150203405,0.5,0.271883599185297,1.90367619376776,0.443263284177266,1.29623758510236,"Drug2"
