"sim.id","time","ka","ke","v1","v2","q","cl","k12","k21","vm","km","k10","C1","ke0","Ceff","centr","AUC","Drug"
"87",2,2,2,4.11114579839958,1,2,1.01072724471989,0.5,0.25,2,2,0.245850498689041,1.4876271347618,0.5,1.4876271347618,6.11585204466119,3.8429239694783,"Drug1"
"88",2,2,2,3.1551585540846,1,2,0.604030538541562,0.5,0.25,2,2,0.191442213818256,2.16119631083145,0.5,2.16119631083145,6.81891702717593,5.26642739041777,"Drug1"
"89",2,2,2,1.61886050752981,1,2,1.49909774939774,0.5,0.25,2,2,0.926020334936204,0.969302951555604,0.5,0.969302951555604,1.56916626810545,5.62393862260256,"Drug1"
"90",2,2,2,2.0719425807067,1,2,1.45926952161001,0.5,0.25,2,2,0.704300174724091,1.17998077740077,0.5,1.17998077740077,2.44485241711204,5.17734898934392,"Drug1"
"91",2,2,2,1.16382207900587,1,2,0.715545309003333,0.5,0.25,2,2,0.614823624599517,2.51237462245354,0.5,2.51237462245354,2.92395705634546,9.88902149817823,"Drug1"
"92",2,2,2,2.24268020801374,1,2,0.852030020204306,0.5,0.25,2,2,0.379915967136,2.08565194522067,0.5,2.08565194522067,4.67745033835175,6.24690390647499,"Drug1"
"93",2,2,2,3.32588681921379,1,2,1.09306603896651,0.5,0.25,2,2,0.328654009707071,1.55821467157457,0.5,1.55821467157457,5.1824456376954,4.40737722202,"Drug1"
"94",2,2,2,4.038660410077,1,2,1.35788990963144,0.5,0.25,2,2,0.336222849101976,1.26393054000424,0.5,1.26393054000424,5.10458623300237,3.6051624894439,"Drug1"
"95",2,2,2,1.77942397040025,1,2,0.872311715301498,0.5,0.25,2,2,0.490221403000031,2.10823813956591,0.5,2.10823813956591,3.75144948085561,7.1632082998962,"Drug1"
"96",2,2,2,2.42460321760967,1,2,1.44262413142146,0.5,0.25,2,2,0.594993902896694,1.25474129236644,0.5,1.25474129236644,3.0422497747394,4.82298200460916,"Drug1"
"97",2,2,2,2.14875517258844,1,2,0.83522056293144,0.5,0.25,2,2,0.388699733495145,2.13891126413816,0.5,2.13891126413816,4.59599664252454,6.47015123587067,"Drug1"
"98",2,2,2,3.12635060356497,1,2,1.4536415304643,0.5,0.25,2,2,0.464964335352123,1.26211646439411,0.5,1.26211646439411,3.94581857022782,4.1648379623816,"Drug1"
"99",2,2,2,2.2135524510874,1,2,1.1166127895303,0.5,0.25,2,2,0.504443790786059,1.64723619456327,0.5,1.64723619456327,3.64624371599541,5.69020554267272,"Drug1"
"100",2,2,2,3.38342876672419,1,2,0.424269524043985,0.5,0.25,2,2,0.125396322280123,2.2999855147191,0.5,2.2999855147191,7.78183715354953,5.22819274245232,"Drug1"
